Name,Rank,Category,Service,Period Start,Period End,Citation,Decoration,Seniority Order
V O Laseinde,Captain,FDC,Nigerian Navy,1993,1993,Commanding Officer and Directing Staff member at National War College,NWC Course 2; Course 3; Course 5,1
S A Ochoche,Dr,FDC,Nigerian Army,1993,1993,Deputy Director Military Strategy and Directing Staff,NWC Course 2; Course 3,2
Iba Yellow Duke,Colonel,FDC,Nigerian Army,1993,1993,Principal Staff Officer - Coordination,NWC Course 2; Course 3,3
S O Cole,Group Captain,FDC,Nigerian Air Force,1993,1993,Directing Staff member,NWC Course 2,4
S Y Ojibara,Group Captain,FDC,Nigerian Air Force,1993,1993,Directing Staff member,NWC Course 2,5
G Abdulkadir,Brigadier General,FDC,Nigerian Army,1993,1993,Deputy Commandant and Director of Studies,NWC Course 2; Course 3,6
R.B. Suara,Air Commodore,FDC,Nigerian Air Force,1993,1993,Directing Staff member,NWC Course 3,7
T. A. Odedina,Commodore,FDC,Nigerian Navy,1993,1993,Directing Staff member,NWC Course 3,8
A. O. Fayomi,Brigadier General,FDC,Nigerian Army,1993,1993,Course 3 Faculty,NWC Course 3,9
M Fagbemi,Colonel,FDC,Nigerian Army,1993,1993,Deputy Director Military History,NWC Course 3,10
JI Igoche,Brigadier General,FDC,Nigerian Army,1993,1993,Course 5 Faculty,NWC Course 5,11
AO Ogundana,Air Commodore,FDC,Nigerian Air Force,1993,1993,Course 5 Faculty,NWC Course 5,12
E Martins,Ambassador,FDC,Civilian,1993,1993,Course 5 Faculty,NWC Course 5,13
JW Gbor,Colonel,FDC,Nigerian Army,1993,1993,Course 5 Faculty,NWC Course 5,14
JIO Edokpayi,Brigadier General,FDC,Nigerian Army,1993,1993,Course 5 Faculty,NWC Course 5,15
DO Enahoro,Brigadier General,FDC,Nigerian Army,1993,1993,Course 5 Faculty,NWC Course 5,16
AO Ogomudia,Brigadier General,FDC,Nigerian Army,1993,1993,Course 5 Faculty,NWC Course 5,17
OE Okon,Brigadier General,FDC,Nigerian Army,1993,1993,Course 5 Faculty,NWC Course 5,18
B Ogundele,Commodore,FDC,Nigerian Navy,1993,1993,Course 5 Faculty,NWC Course 5,19
I A Abdulrahim,Air Commodore,FDC,Nigerian Air Force,1993,1993,Course 5 Faculty,NWC Course 5,20
G.O Agboneni,Air Commodore,FDC,Nigerian Air Force,1993,1993,Course 5 Faculty,NWC Course 5,21
AG Adedeji,Captain,FDC,Nigerian Navy,1993,1993,Course 5 Faculty,NWC Course 5,22
S Momah,Brigadier General,FDC,Nigerian Army,1993,1993,Staff Member - National War College,NWC Staff,23
P Tnadah,Brigadier General,FDC,Nigerian Army,1993,1993,Staff Member - National War College,NWC Staff,24
O George,Commodore,FDC,Nigerian Navy,1993,1993,Staff Member - National War College,NWC Staff,25
EI Ombu,Air Commodore,FDC,Nigerian Air Force,1993,1993,Staff Member - National War College,NWC Staff,26
A One Mohammed,Colonel,FDC,Nigerian Army,1993,1993,Staff Member - National War College,NWC Staff,27
EF Olutumogun,Colonel,FDC,Nigerian Army,1993,1993,Staff Member - National War College,NWC Staff,28
SE Fagbemi,Colonel,FDC,Nigerian Army,1993,1993,Director Military History and Research,NWC Staff,29
SM Dule,Colonel,FDC,Nigerian Army,1993,1993,College Librarian,NWC Staff,30
RD Vellacott,Colonel,Directing Staff,Foreign,1993,1993,Exchange Officer - United Kingdom,NWC Exchange,31
Chris Ellison,Captain,Directing Staff,Foreign,1993,1993,Naval Exchange Officer - United Kingdom,NWC Exchange,32
Delve,Group Captain,Directing Staff,Foreign,1993,1993,Air Force Exchange Officer - United Kingdom,NWC Exchange,33
